nodes,captures,enpassants,castles,promotions,direct_checks,single_discovered_check,direct_discovered_check,double_discovered_check,direct_checkmate,single_discovered_checkmate,direct_discoverd_checkmate,double_discoverd_checkmate,started_at,finished_at,nps,occurrences,hash,fen,account_id,worker_id,name
165477768,33429847,73499,2733000,1296780,1938032,15386,429,0,5492,0,0,0,1739401203,1739401207,4.136944e+07,1,16728195291030590969,r3k2r/p1ppqpb1/bn2pnN1/3P4/1p2P3/2N2Q1p/PPPBBPPP/R3K2R b KQkq - 0 1,1,0,Timmoth
193856446,43537096,83286,3121280,1331268,2074583,15670,537,0,5907,0,0,0,1739401203,1739401207,4.8464112e+07,1,1492547157503608973,r3k2r/p1pNqpb1/bn2pnp1/3P4/1p2P3/2N2Q1p/PPPBBPPP/R3K2R b KQkq - 0 1,1,0,Timmoth
176070755,36578841,78242,2470577,1306424,1960371,15496,449,0,5710,0,0,0,1739401203,1739401207,4.4017688e+07,1,3974808397753923445,r3k2r/p1ppqNb1/bn2pnp1/3P4/1p2P3/2N2Q1p/PPPBBPPP/R3K2R b KQkq - 0 1,1,0,Timmoth
145182844,28465152,60856,3633984,1114212,1486088,8632,376,0,874,0,0,0,1739401203,1739401207,3.6295712e+07,1,9985504246163270096,r3k2r/p1ppqpb1/bn2pnp1/3P4/1pN1P3/2N2Q1p/PPPBBPPP/R3K2R b KQkq - 0 1,1,0,Timmoth
144264874,27236164,70601,3566498,1085372,1622481,13257,449,0,3377,0,0,0,1739401203,1739401207,3.6066216e+07,1,15010710161849550590,r3k2r/p1ppqpb1/bn2pnp1/3P4/1p2P1N1/2N2Q1p/PPPBBPPP/R3K2R b KQkq - 0 1,1,0,Timmoth
169836097,34612955,71695,2642990,1387380,2026874,15937,419,0,5544,0,0,0,1739401203,1739401207,4.2459024e+07,1,10987939104105882861,r3k2r/p1ppqpb1/bnN1pnp1/3P4/1p2P3/2N2Q1p/PPPBBPPP/R3K2R b KQkq - 0 1,1,0,Timmoth
158801466,29849921,72872,3769837,1229708,2316320,9604,960,0,771,0,8,0,1739401203,1739401207,3.9700368e+07,1,16880417787358491929,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPP1BPPP/R1B1K2R b KQkq - 0 1,1,0,Timmoth
184114087,35387223,79251,4393261,1441616,2252589,8113,1006,0,649,0,0,0,1739401204,1739401207,6.137136e+07,1,7034015467378158494,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N1BQ1p/PPP1BPPP/R3K2R b KQkq - 0 1,1,0,Timmoth
165805784,31423842,74540,3944862,1288844,2178909,9708,956,0,629,0,0,0,1739401204,1739401207,5.5268592e+07,1,14538053499007490675,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2PB2/2N2Q1p/PPP1BPPP/R3K2R b KQkq - 0 1,1,0,Timmoth
177883051,35462433,76752,4212082,1469136,2465699,10203,1012,0,1099,0,0,0,1739401204,1739401207,5.9294352e+07,1,15334540224245885912,r3k2r/p1ppqpb1/bn2pnp1/3PN1B1/1p2P3/2N2Q1p/PPP1BPPP/R3K2R b KQkq - 0 1,1,0,Timmoth
161319567,35468278,71602,3997887,1341648,2517520,10111,976,0,1132,0,0,0,1739401204,1739401207,5.3773188e+07,1,3649367208305191996,r3k2r/p1ppqpb1/bn2pnpB/3PN3/1p2P3/2N2Q1p/PPP1BPPP/R3K2R b KQkq - 0 1,1,0,Timmoth
